name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Bart Verbruggen,GK,Brighton,1.2,0,0,0,0,0,0.0,0,139,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,20,0,0,0,0,0,7,0,550943,0,0,,,0.0,0,-23715,12373,36088,44,False,0
Destiny Udogie,DEF,Spurs,1.5,0,0,0,0,0,0.0,0,574,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,11,0,0,0,0,0,7,0,68539,0,0,,,0.0,0,1953,5734,3781,44,False,0
Emiliano Buendía Stati,MID,Aston Villa,4.3,0,0,0,0,0,0.0,0,50,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,3,0,0,0,0,0,7,0,25864,0,0,,,0.0,0,13516,15022,1506,53,True,0
Jurriën Timber,DEF,Arsenal,3.3,0,0,0,0,0,0.0,0,8,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,19,0,0,0,0,0,7,0,1910147,0,0,,,0.0,0,197000,274109,77109,58,True,0
Omar Alderete,DEF,Sunderland,7.0,0,0,0,0,0,0.0,0,683,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,14,0,0,0,0,0,7,0,763041,0,0,,,0.0,0,425512,441449,15937,41,False,0
Reece James,DEF,Chelsea,1.5,0,0,0,0,0,0.0,0,225,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,False,12,0,0,0,0,0,7,0,515555,0,0,,,0.0,0,-13357,18015,31372,54,True,0
Jonah Kusi-Asare,FWD,Fulham,0.0,0,0,0,0,0,0.0,0,737,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2025-10-03T19:00:00Z,0,False,4,0,0,0,0,0,7,0,5571,0,0,1,3,0.0,0,360,1161,801,45,False,0
Iwan Morgan,FWD,Brentford,-0.5,0,0,0,0,0,0.0,0,137,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,13,0,0,0,0,0,7,0,53224,0,0,,,0.0,0,-1422,3727,5149,44,True,0
Matty Cash,DEF,Aston Villa,4.7,0,0,0,0,0,0.0,0,36,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,3,0,0,0,0,0,7,0,673353,0,0,,,0.0,0,26256,51368,25112,46,True,0
Tomáš Souček,MID,West Ham,0.0,0,0,0,0,0,0.0,0,613,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,1,0,0,0,0,0,7,0,27310,0,0,,,0.0,0,-3466,44,3510,57,False,0
Milos Kerkez,DEF,Liverpool,1.7,0,0,0,0,0,0.0,0,371,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,False,7,0,0,0,0,0,7,0,546049,0,0,,,0.0,0,-48963,7258,56221,59,False,0
Dominik Szoboszlai,MID,Liverpool,2.7,0,0,0,0,0,0.0,0,387,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,False,7,0,0,0,0,0,7,0,467789,0,0,,,0.0,0,-3684,39087,42771,65,False,0
Enzo Le Fée,MID,Sunderland,0.7,0,0,0,0,0,0.0,0,547,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,14,0,0,0,0,0,7,0,50547,0,0,,,0.0,0,-1052,3407,4459,49,False,0
Václav Hladký,GK,Burnley,-0.5,0,0,0,0,0,0.0,0,185,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,2,0,0,0,0,0,7,0,20951,0,0,,,0.0,0,-558,331,889,40,False,0
Jamaldeen Jimoh-Aloba,MID,Aston Villa,0.5,0,0,0,0,0,0.0,0,62,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,3,0,0,0,0,0,7,0,7687,0,0,,,0.0,0,201,708,507,45,True,0
Manuel Ugarte Ribeiro,MID,Man Utd,2.3,0,0,0,0,0,0.0,0,459,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,17,0,0,0,0,0,7,0,17688,0,0,,,0.0,0,-306,1239,1545,49,True,0
Matz Sels,GK,Nott'm Forest,1.0,0,0,0,0,0,0.0,0,502,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,15,0,0,0,0,0,7,0,1336799,0,0,,,0.0,0,-191134,5161,196295,49,False,0
Fábio Freitas Gouveia Carvalho,MID,Brentford,1.5,0,0,0,0,0,0.0,0,123,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,13,0,0,0,0,0,7,0,31444,0,0,,,0.0,0,-2616,1432,4048,49,True,0
Mateus Gonçalo Espanha Fernandes,MID,West Ham,1.0,0,0,0,0,0,0.0,0,708,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,1,0,0,0,0,0,7,0,3042,0,0,,,0.0,0,-34,323,357,55,False,0
Joe Hodge,MID,Wolves,0.0,0,0,0,0,0,0.0,0,653,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,6,0,0,0,0,0,7,0,4629,0,0,,,0.0,0,-257,0,257,45,True,0
Adam Aznou,DEF,Everton,0.0,0,0,0,0,0,0.0,0,667,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,8,0,0,0,0,0,7,0,7157,0,0,,,0.0,0,-303,81,384,44,True,0
Manor Solomon,MID,Spurs,0.0,0,0,0,0,0,0.0,0,589,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,11,0,0,0,0,0,7,0,981,0,0,,,0.0,0,-41,0,41,54,False,0
Kim Ji-soo,DEF,Brentford,0.0,0,0,0,0,0,0.0,0,117,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,13,0,0,0,0,0,7,0,15606,0,0,,,0.0,0,-1497,0,1497,39,True,0
Olivier Boscagli,DEF,Brighton,0.0,0,0,0,0,0,0.0,0,143,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,20,0,0,0,0,0,7,0,10108,0,0,,,0.0,0,-335,224,559,43,False,0
Jacob Bruun Larsen,MID,Burnley,-0.3,0,0,0,0,0,0.0,0,202,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,2,0,0,0,0,0,7,0,3546,0,0,,,0.0,0,-84,150,234,53,False,0
Timothée Pembélé,DEF,Sunderland,-0.5,0,0,0,0,0,0.0,0,540,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,14,0,0,0,0,0,7,0,56432,0,0,,,0.0,0,3229,7573,4344,39,False,0
Sam Johnstone,GK,Wolves,1.2,0,0,0,0,0,0.0,0,627,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,6,0,0,0,0,0,7,0,16485,0,0,,,0.0,0,558,1250,692,45,True,0
Luke Harris,MID,Fulham,0.0,0,0,0,0,0,0.0,0,334,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2025-10-03T19:00:00Z,0,False,4,0,0,0,0,0,7,0,234,0,0,1,3,0.0,0,-10,0,10,45,False,0
Julio Enciso Espínola,MID,Brighton,0.0,0,0,0,0,0,0.0,0,161,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,20,0,0,0,0,0,7,0,1347,0,0,,,0.0,0,-58,0,58,54,False,0
Alex Murphy,DEF,Newcastle,0.5,0,0,0,0,0,0.0,0,481,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,16,0,0,0,0,0,7,0,81106,0,0,,,0.0,0,-1018,3451,4469,39,True,0
Thierno Barry,FWD,Everton,0.8,0,0,0,0,0,0.0,0,310,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,8,0,0,0,0,0,7,0,43960,0,0,,,0.0,0,-3193,1412,4605,58,True,0
Samuel Chukwueze,MID,Fulham,1.2,1,0,17,0,0,25.8,2,727,0.32,0.32,0.00,0.67,63,3,0,4.9,21.0,2025-10-03T19:00:00Z,23,False,4,0,0,0,2,0,7,0,2783,0,0,1,3,2.0,4,-80,349,429,54,False,0
Nick Woltemade,FWD,Newcastle,5.0,0,0,0,0,0,0.0,0,714,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,16,0,0,0,0,0,7,0,819594,0,0,,,0.0,0,398735,439484,40749,71,True,0
Martin Dúbravka,GK,Burnley,1.5,0,0,0,0,0,0.0,0,470,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,2,0,0,0,0,0,7,0,4138990,0,0,,,0.0,0,-4465,71787,76252,40,False,0
Sandro Tonali,MID,Newcastle,3.5,0,0,0,0,0,0.0,0,491,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,16,0,0,0,0,0,7,0,166220,0,0,,,0.0,0,12949,21250,8301,54,True,0
Harvey Elliott,MID,Aston Villa,1.3,0,0,0,0,0,0.0,0,389,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,3,0,0,0,0,0,7,0,59271,0,0,,,0.0,0,-6594,3264,9858,54,True,0
Yoane Wissa,FWD,Newcastle,0.0,0,0,0,0,0,0.0,0,135,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,16,0,0,0,0,0,7,0,73669,0,0,,,0.0,0,-7125,201,7326,74,True,0
Nathan Collins,DEF,Brentford,0.5,0,0,0,0,0,0.0,0,106,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,13,0,0,0,0,0,7,0,149458,0,0,,,0.0,0,-12453,2108,14561,50,True,0
Gonçalo Manuel Ganchinho Guedes,MID,Wolves,0.0,0,0,0,0,0,0.0,0,647,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,6,0,0,0,0,0,7,0,452,0,0,,,0.0,0,-14,0,14,55,True,0
Alfie Pond,DEF,Wolves,0.0,0,0,0,0,0,0.0,0,641,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,6,0,0,0,0,0,7,0,171226,0,0,,,0.0,0,20237,27932,7695,39,True,0
Jhon Arias,MID,Wolves,1.8,0,0,0,0,0,0.0,0,663,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,6,0,0,0,0,0,7,0,29264,0,0,,,0.0,0,-252,2395,2647,52,True,0
Norberto Bercique Gomes Betuncal,FWD,Everton,1.2,0,0,0,0,0,0.0,0,311,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,8,0,0,0,0,0,7,0,523212,0,0,,,0.0,0,-56061,18687,74748,54,True,0
Oleksandr Zinchenko,DEF,Nott'm Forest,0.1,0,0,0,0,0,0.0,0,12,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,15,0,0,0,0,0,7,0,39509,0,0,,,0.0,0,-3685,1168,4853,49,False,0
Jack Moorhouse,MID,Man Utd,0.0,0,0,0,0,0,0.0,0,464,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,17,0,0,0,0,0,7,0,2903,0,0,,,0.0,0,-269,0,269,45,True,0
James Trafford,GK,Man City,0.5,0,0,0,0,0,0.0,0,182,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,5,0,0,0,0,0,7,0,166587,0,0,,,0.0,0,-14385,684,15069,48,False,0
John Stones,DEF,Man City,0.7,0,0,0,0,0,0.0,0,409,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,5,0,0,0,0,0,7,0,92592,0,0,,,0.0,0,-3180,1671,4851,55,False,0
Jacob Murphy,MID,Newcastle,3.5,0,0,0,0,0,0.0,0,489,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,16,0,0,0,0,0,7,0,127977,0,0,,,0.0,0,-970,9640,10610,62,True,0
William Osula,FWD,Newcastle,1.3,0,0,0,0,0,0.0,0,500,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,16,0,0,0,0,0,7,0,42803,0,0,,,0.0,0,-2247,3397,5644,55,True,0
Daniel Ballard,DEF,Sunderland,0.0,0,0,0,0,0,0.0,0,531,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,14,0,0,0,0,0,7,0,289236,0,0,,,0.0,0,-15605,5292,20897,46,False,0
Pervis Estupiñán Tenorio,DEF,Brighton,0.0,0,0,0,0,0,0.0,0,147,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,20,0,0,0,0,0,7,0,1352,0,0,,,0.0,0,-30,0,30,45,False,0
Harry Tyrer,GK,Everton,0.0,0,0,0,0,0,0.0,0,289,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,8,0,0,0,0,0,7,0,14042,0,0,,,0.0,0,-341,147,488,40,True,0
